,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6,MR1_checker,MR2_checker,MR3_checker,MR4_checker,MR5_checker,MR6_checker
48300,4.477336814478207,4.477336814478207,6.42324696353352,7.773173680482536,-4.477336814578207,5.575949103146317,2.079441541679836,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48482,8.288534459413917,8.288534459413917,8.812843433517195,11.584371325418246,-8.288534459113919,9.387146748082026,5.455321115357702,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48496,6.851184927493743,6.851184927493742,8.77647578934632,11.245634082166182,-6.851184926893743,7.949797216161853,5.752572638825633,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48497,6.639875833826537,6.639875833826536,7.67786350067821,9.935712699830866,-6.639875833626537,7.738488122494647,3.931825632724326,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48553,2.8903717578961645,2.8903717578961645,5.817111159963204,6.186208623900495,-2.890371757096165,3.9889840465642745,2.8903717578961645,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48568,8.594154232552366,8.594154232552366,11.272432275320906,14.087215675892914,-8.594154231552366,9.692766521220475,5.703782474656201,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48637,6.148468295917647,6.148468295917647,7.272398392570047,9.444305161921976,-6.148468296717647,7.247080584585757,5.049856007249537,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48650,3.4011973816621555,3.4011973816621555,5.886104031450156,6.697034247666485,-3.4011973811621554,4.499809670330265,2.70805020110221,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48742,9.549665677579805,9.549665677579805,11.783257899086896,15.04272712092035,-9.5496656771798,10.648277966247912,6.984716320118266,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48874,8.032035314398826,8.032035314398824,8.620471540869739,11.327872180403157,-8.032035314598824,9.130647603066937,5.14166355650266,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48991,10.48877108722013,10.488771087220128,11.328521741971947,14.883220241892568,-10.48877108652013,11.58738337588824,7.598399329323964,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
49065,11.215273861480958,11.215273861480958,12.791189081876414,16.708335304821507,-11.215273862480958,12.313886150149068,8.576216531865699,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
49125,12.427134030640058,12.427134030640058,14.970881180450991,19.01880776264872,-12.42713402954006,13.525746319308167,10.029238757841688,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
49149,2.995732273553991,2.995732273553991,5.41164605185504,6.29156913955832,-2.995732273553991,4.0943445622221,1.6094379124341005,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
49247,8.658692753689937,8.658692753689936,10.02446547908903,13.053141908362376,-8.658692753289937,9.757305042358048,5.886104031450156,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
