,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
23446,31,31,35,124,0.0204081633,4,31
23447,6,6,10,24,0.0227272727,4,6
23448,3,3,7,12,0.023255814,3,3
23449,9,9,13,36,0.0222222222,4,9
23450,3,3,7,12,0.0243902439,3,3
23451,1,1,5,4,0.0212765957,1,1
23452,1,1,5,4,0.0238095238,1,1
23453,9,9,13,36,0.0217391304,4,12
23454,16,16,20,64,0.0217391304,4,21
23455,8,8,12,32,0.0204081633,4,8
23456,12,12,16,48,0.0285714286,4,12
23457,8,8,12,32,0.025,4,15
23458,2,2,6,8,0.0208333333,2,2
23459,1,1,5,4,0.0476190476,1,1
23460,2,2,6,8,0.0227272727,2,2
23461,3,3,7,12,0.0204081633,3,3
23462,10,10,14,40,0.0217391304,4,10
23463,3,3,7,12,0.0208333333,3,3
23464,8,8,12,32,0.0212765957,4,20
23465,8,8,12,32,0.0222222222,4,10
23466,14,14,18,56,0.0277777778,4,21
23467,21,21,25,84,0.0222222222,4,21
23468,10,10,14,40,0.0217391304,4,10
23469,3,3,7,12,0.0208333333,3,3
23470,2,2,6,8,0.0217391304,2,2
23471,15,15,19,60,0.0222222222,4,15
23472,3,3,7,12,0.0204081633,3,3
23473,32,32,36,128,0.0208333333,4,32
23474,1,1,5,4,0.03125,1,1
23475,10,10,14,40,0.0204081633,4,10
23476,9,9,13,36,0.0294117647,4,9
23477,10,10,14,40,0.0217391304,4,10
23478,1,1,5,4,0.0208333333,1,15
23479,12,12,16,48,0.0217391304,4,12
23480,6,6,10,24,0.0217391304,4,6
23481,4,4,8,16,0.0212765957,4,4
23482,10,10,14,40,0.0238095238,4,10
23483,7,7,11,28,0.0212765957,4,7
23484,3,3,7,12,0.023255814,3,3
23485,2,2,6,8,0.0222222222,2,5
23486,1,1,5,4,0.0227272727,1,1
23487,7,7,11,28,0.0222222222,4,7
23488,13,13,17,52,0.0217391304,4,13
23489,13,13,17,52,0.0222222222,4,13
23490,3,3,7,12,0.0344827586,3,3
23491,4,4,8,16,0.0212765957,4,4
23492,3,3,7,12,0.0263157895,3,3
23493,10,10,14,40,0.037037037,4,10
23494,3,3,7,12,0.0222222222,3,4
23495,1,1,5,4,0.0217391304,1,1
23496,4,4,8,16,0.0208333333,4,4
23497,1,1,5,4,0.0243902439,1,1
23498,1,1,5,4,0.027027027,1,1
23499,13,13,17,52,0.0222222222,4,20
23500,2,2,6,8,0.0204081633,2,2
23501,15,15,19,60,0.0227272727,4,15
23502,13,13,17,52,0.04,4,23
23503,26,26,30,104,0.0204081633,4,26
23504,1,1,5,4,0.0227272727,1,1
23505,1,1,5,4,0.0208333333,1,1
23506,2,2,6,8,0.0256410256,2,2
23507,7,7,11,28,0.025,4,7
23508,7,7,11,28,0.0217391304,4,8
23509,23,23,27,92,0.0217391304,4,25
23510,9,9,13,36,0.0256410256,4,9
23511,1,1,5,4,0.027027027,1,1
23512,9,9,13,36,0.0204081633,4,9
23513,2,2,6,8,0.0243902439,2,2
23514,2,2,6,8,0.0212765957,2,2
23515,1,1,5,4,0.0227272727,1,1
23516,9,9,13,36,0.0222222222,4,9
