,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6,MR1_checker,MR2_checker,MR3_checker,MR4_checker,MR5_checker,MR6_checker
2164,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2165,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
2166,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2167,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2168,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2169,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2170,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2171,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
2172,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2173,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2174,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2175,1.0499716848160465,1.0499716848160465,1.0207543464748883,1.0499716848160465,1.0387421004175068,,0.6534181947937018,Not-violated,Violated,Not-violated,Not-violated,Violated,Not-violated
2176,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
2177,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2178,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2179,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2180,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2181,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2182,1.5336611054901208,1.5336611054901206,1.4800346663017625,1.5336611054901208,1.5028516511253858,,1.3119001538797541,Not-violated,Violated,Not-violated,Not-violated,Violated,Not-violated
2183,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2184,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2185,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2186,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2187,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2188,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2189,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2190,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2191,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2192,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2193,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2194,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
