,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
13786,24,10,30,72,0.4090909091,24,24
13787,14,7,20,42,0.3428571429,14,14
13788,23,9,29,69,d/0,23,23
13789,31,28,37,93,0.22549019609999998,31,31
13790,25,25,31,75,0.1984126985,25,25
13791,14,6,20,42,0.0,14,14
13792,16,16,22,48,d/0,21,3
13793,14,9,20,42,d/0,14,5
13794,19,22,25,57,0.75,19,19
13795,16,21,22,48,0.2833333333,16,16
13796,26,14,32,78,0.19548872180000001,26,26
13797,30,30,36,90,0.14358974359999999,30,30
13798,3,19,9,9,0.9090909091,3,3
13799,-20,-11,-14,-60,-0.2053571429,-4,-20
13800,29,32,35,87,1.1111111111,29,29
13801,14,12,20,42,-0.0473684211,14,14
13802,27,27,33,81,0.15000000000000002,27,27
13803,8,8,14,24,0.1041666667,8,-5
13804,12,12,18,36,0.3428571429,12,0
13805,35,35,41,105,0.1151315789,35,35
13806,36,36,42,108,0.35,36,36
13807,-4,7,2,-12,0.020833333300000006,15,-21
13808,24,14,30,72,1.0909090909,24,24
13809,25,33,31,75,0.2333333334,25,25
13810,34,34,40,102,d/0,34,34
13811,36,30,42,108,1.1666666667,36,36
13812,23,18,29,69,0.2769230769,23,23
13813,22,28,28,66,0.5,22,22
13814,23,8,29,69,0.2575757576,23,23
13815,35,35,41,105,0.1534090909,35,35
13816,37,37,43,111,0.1838235294,37,33
13817,23,32,29,69,d/0,23,23
13818,10,20,16,30,0.41666666669999997,10,5
13819,14,11,20,42,0.42424242419999997,14,0
13820,8,8,14,24,-0.008928571400000002,8,8
13821,24,27,30,72,1.25,24,24
13822,4,-8,10,12,0.95,4,4
13823,31,22,37,93,0.2291666667,31,31
13824,34,29,40,102,0.1180555556,34,10
13825,10,10,16,30,0.023809523799999982,10,10
13826,4,4,10,12,d/0,4,4
13827,17,15,23,51,d/0,17,17
13828,23,19,29,69,0.25,23,23
13829,23,14,29,69,0.22549019609999998,23,23
13830,32,32,38,96,0.6,32,32
13831,-3,-7,3,-9,d/0,-3,-3
13832,27,27,33,81,0.23333333329999997,27,27
13833,19,28,25,57,d/0,19,19
13834,27,25,33,81,0.30952380960000003,27,18
13835,14,21,20,42,0.75,14,14
13836,18,28,24,54,d/0,18,18
13837,21,0,27,63,0.3088235294,21,21
13838,16,17,22,48,d/0,16,16
13839,19,20,25,57,1.1428571429,19,19
13840,36,36,42,108,0.1114551083,36,36
13841,13,15,19,39,0.325,13,13
13842,14,22,20,42,1.1111111111,14,14
13843,34,31,40,102,1.0714285714,34,34
13844,-2,-2,4,-6,0.4090909091,-2,-2
13845,15,7,21,45,0.6,15,15
13846,37,32,43,111,0.5526315789,37,37
13847,23,23,29,69,0.17424242420000002,23,23
13848,25,27,31,75,0.30952380960000003,25,16
13849,-12,-10,-6,-36,d/0,-12,-12
13850,20,12,26,60,0.36666666670000003,20,20
13851,33,33,39,99,1.0833333333,33,33
13852,23,23,29,69,d/0,23,23
13853,27,27,33,81,0.225,27,27
13854,-4,0,2,-12,d/0,-1,-10
13855,-22,-19,-16,-66,-0.1497326203,-5,-25
13856,13,13,19,39,0.5909090909,13,-9
13857,-3,-1,3,-9,0.05555555559999999,-3,-3
13858,8,8,14,24,-0.0625,19,-10
13859,35,29,41,105,0.24285714290000002,35,35
13860,5,21,11,15,1.0,5,5
13861,6,28,12,18,1.25,6,6
13862,30,11,36,90,0.1388888889,30,30
13863,-2,11,4,-6,0.07142857150000001,15,-3
13864,25,19,31,75,0.29166666669999997,25,25
13865,17,7,23,51,0.2361111111,17,17
13866,6,6,12,18,-0.041666666699999994,6,6
13867,11,7,17,33,d/0,16,2
13868,31,30,37,93,0.1394230769,31,31
13869,7,7,13,21,0.7,7,4
13870,30,30,36,90,0.325,30,30
13871,33,29,39,99,0.2666666666,33,33
13872,-1,12,5,-3,d/0,3,-1
13873,31,23,37,93,d/0,31,31
13874,37,36,43,111,0.5526315789,37,37
13875,23,14,29,69,0.1785714286,23,23
13876,13,34,19,39,0.4333333333,13,13
13877,32,32,38,96,0.5,32,32
13878,28,34,34,84,1.125,28,28
13879,13,13,19,39,d/0,13,13
13880,-5,-5,1,-15,0.3571428571,-4,-5
13881,22,12,28,66,0.27450980389999996,22,22
13882,21,18,27,63,0.5526315789,21,21
13883,24,15,30,72,d/0,24,24
13884,6,14,12,18,0.012499999999999997,6,6
13885,23,18,29,69,0.75,23,23
13886,31,37,37,93,0.6666666667,31,25
13887,22,25,28,66,d/0,22,22
13888,5,22,11,15,0.06617647060000001,15,5
13889,30,29,36,90,0.4333333333,30,30
13890,19,16,25,57,0.36666666670000003,19,19
13891,26,29,32,78,0.32142857140000003,26,26
13892,17,20,23,51,1.1,17,17
13893,16,16,22,48,d/0,19,-5
13894,26,30,32,78,0.5333333333,26,26
13895,24,24,30,72,0.3428571429,24,24
13896,17,16,23,51,0.8571428570999999,17,16
13897,13,14,19,39,-0.0047619047,13,13
13898,31,31,37,93,1.3333333333,31,31
13899,28,31,34,84,0.3269230769,28,28
13900,9,16,15,27,0.45,9,3
13901,33,33,39,99,0.1240601503,33,-5
13902,28,30,34,84,d/0,28,28
13903,23,23,29,69,0.2769230769,23,23
13904,-1,-1,5,-3,d/0,-1,-1
13905,21,26,27,63,0.3088235294,21,21
13906,14,12,20,42,0.44444444439999997,14,14
13907,28,25,34,84,0.16233766230000002,28,28
13908,15,17,21,45,0.2777777778,15,15
13909,18,12,24,54,0.5714285714,18,18
13910,-5,-18,1,-15,d/0,3,-23
13911,19,19,25,57,0.3958333333,19,19
13912,29,35,35,87,0.4333333333,29,29
13913,13,29,19,39,1.0909090909,13,13
