,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
348,6,6,6,6,6,7,5
349,9,9,9,9,9,10,8
350,10,10,9,10,10,11,9
351,4,4,4,4,4,5,3
352,5,5,5,5,5,6,4
353,10,10,10,10,10,11,9
354,14,14,13,14,14,15,13
355,7,7,7,7,7,8,6
356,14,14,14,14,14,15,13
357,7,7,7,7,7,8,6
358,11,11,14,11,d/0,12,10
359,3,3,4,3,d/0,4,3
360,11,11,11,11,11,12,10
361,14,14,14,14,14,15,13
362,3,3,3,3,3,4,2
363,6,6,6,6,6,7,5
364,8,8,7,8,8,9,7
365,13,13,12,13,13,14,12
366,5,5,5,5,5,6,4
367,6,6,7,6,d/0,7,5
368,10,10,11,10,d/0,11,10
369,3,3,4,3,d/0,4,2
370,8,8,8,8,8,9,7
371,3,3,3,3,3,4,2
372,3,3,3,3,3,4,2
373,12,12,10,12,12,13,11
374,7,7,8,7,d/0,8,6
375,5,5,5,5,5,6,4
376,3,3,3,3,3,4,2
377,7,7,7,7,7,8,6
378,11,11,11,11,11,12,10
379,5,5,5,5,5,6,4
380,10,10,10,10,d/0,11,9
381,6,6,7,6,d/0,7,5
382,6,6,7,6,d/0,7,5
383,11,11,10,11,11,12,10
384,11,11,11,11,11,12,10
385,12,12,10,12,12,13,11
386,13,13,14,13,d/0,14,12
387,10,10,10,10,10,11,9
388,6,6,5,6,6,7,5
389,10,10,9,10,10,11,9
390,10,10,10,10,10,11,9
391,11,11,11,11,11,12,10
392,12,12,12,12,12,13,11
393,4,4,4,4,4,5,3
394,14,14,14,14,14,15,13
395,8,8,8,8,8,9,7
396,10,10,9,10,10,11,9
397,14,14,12,14,14,15,13
398,6,6,6,6,6,7,5
399,10,10,10,10,10,11,9
400,11,11,11,11,11,12,10
401,8,8,8,8,8,9,7
402,11,11,11,11,11,12,10
403,3,3,3,3,3,4,2
404,13,13,14,13,d/0,14,13
405,5,5,5,5,5,6,4
406,5,5,5,5,5,6,4
407,5,5,6,5,d/0,6,4
408,8,8,8,8,d/0,9,7
409,9,9,10,9,d/0,10,8
410,13,13,13,13,13,14,12
411,8,8,8,8,d/0,9,7
412,7,7,6,7,7,8,6
413,6,6,6,6,6,7,5
414,4,4,4,4,4,5,3
415,9,9,11,9,d/0,10,9
416,9,9,9,9,9,10,8
417,2,2,3,2,d/0,3,1
418,9,9,9,9,9,10,8
419,13,13,13,13,d/0,14,12
420,2,2,3,2,d/0,3,1
421,6,6,6,6,6,7,5
422,10,10,11,10,d/0,11,9
423,3,3,2,3,3,4,2
424,12,12,11,12,12,13,11
425,11,11,10,11,11,12,10
426,4,4,4,4,4,5,3
427,12,12,13,12,d/0,13,11
428,11,11,11,11,11,12,10
429,6,6,6,6,6,7,5
430,4,4,4,4,4,5,3
431,9,9,9,9,9,10,8
432,5,5,5,5,5,6,4
433,10,10,13,10,d/0,11,9
434,4,4,4,4,4,5,3
435,7,7,7,7,7,8,6
436,4,4,4,4,4,5,3
437,12,12,14,12,d/0,13,12
438,12,12,11,12,12,13,11
439,12,12,13,12,d/0,13,11
440,12,12,12,12,12,13,11
441,11,11,12,11,d/0,12,10
442,4,4,4,4,4,5,3
443,12,12,11,12,12,13,11
444,6,6,5,6,6,7,5
445,14,14,14,14,14,15,13
446,14,14,13,14,14,15,13
447,3,3,3,3,3,4,2
448,5,5,6,5,d/0,6,4
449,8,8,9,8,d/0,9,7
450,14,14,14,14,14,15,13
451,7,7,7,7,7,8,6
452,10,10,10,10,10,11,9
453,7,7,7,7,7,8,6
454,10,10,10,10,10,11,9
455,4,4,5,4,d/0,5,3
456,9,9,8,9,9,10,8
457,13,13,14,13,d/0,14,12
458,7,7,7,7,7,8,6
459,11,11,11,11,11,12,10
460,14,14,13,14,14,15,13
461,11,11,11,11,11,12,10
462,7,7,7,7,7,8,6
463,7,7,7,7,7,8,6
464,7,7,6,7,7,8,6
465,14,14,14,14,14,15,13
466,8,8,9,8,d/0,9,7
467,8,8,7,8,8,9,7
468,12,12,12,12,12,13,11
469,14,14,14,14,14,15,13
470,8,8,9,8,d/0,9,7
471,3,3,3,3,3,4,2
472,12,12,12,12,12,13,11
473,3,3,3,3,3,4,2
474,13,13,12,13,13,14,12
475,4,4,4,4,4,5,3
476,4,4,4,4,4,5,3
477,7,7,8,7,d/0,8,6
478,8,8,7,8,8,9,7
479,5,5,4,5,5,6,4
480,4,4,4,4,4,5,3
481,8,8,8,8,8,9,7
482,10,10,10,10,10,11,9
483,11,11,12,11,d/0,12,10
484,7,7,7,7,7,8,6
485,5,5,5,5,5,6,4
486,13,13,13,13,13,14,12
487,12,12,12,12,12,13,11
488,13,13,13,13,13,14,12
489,14,14,14,14,14,15,13
490,9,9,9,9,9,10,8
491,13,13,13,13,13,14,12
492,3,3,3,3,3,4,2
493,12,12,11,12,12,13,11
494,12,12,12,12,12,13,11
495,3,3,3,3,3,4,2
496,7,7,7,7,d/0,8,6
497,5,5,5,5,5,6,4
498,6,6,5,6,6,7,5
499,6,6,8,6,d/0,7,5
500,9,9,10,9,d/0,10,8
501,8,8,8,8,8,9,7
502,10,10,10,10,10,11,9
503,7,7,8,7,d/0,8,6
504,6,6,6,6,6,7,5
505,7,7,7,7,7,8,6
506,4,4,4,4,4,5,3
507,5,5,5,5,5,6,4
508,4,4,4,4,4,5,3
509,5,5,5,5,5,6,4
510,10,10,11,10,d/0,11,9
511,3,3,3,3,3,4,2
512,11,11,12,11,d/0,12,10
513,3,3,3,3,3,4,2
514,4,4,5,4,d/0,5,3
515,10,10,11,10,d/0,11,9
516,8,8,8,8,8,9,7
517,10,10,10,10,10,11,9
518,10,10,10,10,10,11,9
519,9,9,8,9,9,10,8
520,13,13,12,13,13,14,12
521,14,14,14,14,14,15,13
522,13,13,13,13,13,14,12
523,9,9,11,9,d/0,10,8
524,14,14,14,14,14,15,13
525,3,3,3,3,3,4,2
526,5,5,6,5,d/0,6,4
527,11,11,10,11,11,12,10
528,14,14,13,14,14,15,13
529,3,3,3,3,3,4,2
530,10,10,10,10,10,11,9
531,9,9,10,9,d/0,10,8
532,9,9,10,9,d/0,10,8
533,6,6,6,6,6,7,5
534,11,11,11,11,11,12,10
535,4,4,4,4,4,5,3
536,11,11,12,11,d/0,12,10
537,8,8,8,8,8,9,7
538,9,9,9,9,9,10,8
539,3,3,4,3,d/0,4,2
540,6,6,6,6,6,7,5
541,13,13,14,13,d/0,14,12
542,7,7,6,7,7,8,6
543,13,13,14,13,d/0,14,12
544,14,14,13,14,14,15,13
545,10,10,11,10,d/0,11,9
546,14,14,13,14,14,15,13
547,13,13,13,13,13,14,12
548,11,11,13,11,d/0,12,10
549,5,5,5,5,5,6,4
550,12,12,12,12,12,13,11
551,6,6,6,6,6,7,5
552,13,13,14,13,d/0,14,12
553,7,7,7,7,7,8,6
554,4,4,3,4,4,5,3
555,4,4,4,4,4,5,3
556,12,12,12,12,12,13,11
557,3,3,3,3,3,4,2
558,12,12,13,12,d/0,13,11
559,4,4,4,4,4,5,3
560,5,5,5,5,5,6,4
561,4,4,4,4,4,5,3
562,13,13,13,13,13,14,12
563,5,5,5,5,5,6,4
564,9,9,10,9,d/0,10,8
565,7,7,7,7,7,8,6
566,6,6,6,6,6,7,5
567,6,6,6,6,6,7,5
568,9,9,9,9,9,10,8
569,13,13,13,13,13,14,12
570,10,10,12,10,d/0,11,9
571,5,5,6,5,d/0,6,5
572,8,8,8,8,8,9,7
573,13,13,14,13,d/0,14,12
574,12,12,11,12,12,13,11
575,9,9,11,9,d/0,10,8
576,11,11,11,11,11,12,10
577,5,5,4,5,5,6,4
578,9,9,9,9,9,10,8
579,9,9,10,9,d/0,10,9
580,9,9,10,9,d/0,10,8
581,10,10,9,10,10,11,9
582,10,10,10,10,10,11,9
583,10,10,12,10,d/0,11,10
584,9,9,9,9,9,10,8
585,14,14,14,14,14,15,13
586,12,12,12,12,12,13,11
587,14,14,14,14,14,15,13
588,13,13,11,13,13,14,12
589,8,8,8,8,8,9,7
590,14,14,13,14,14,15,13
591,11,11,11,11,11,12,10
592,12,12,12,12,12,13,11
593,8,8,8,8,8,9,7
594,8,8,8,8,8,9,7
595,3,3,4,3,d/0,4,3
596,3,3,3,3,3,4,2
597,3,3,3,3,3,4,2
598,6,6,6,6,6,7,5
599,4,4,4,4,4,5,3
600,5,5,5,5,5,6,4
601,4,4,4,4,4,5,3
602,12,12,12,12,12,13,11
603,9,9,9,9,9,10,8
604,7,7,7,7,7,8,6
605,5,5,5,5,5,6,4
606,11,11,9,11,11,12,10
607,12,12,13,12,d/0,13,11
608,11,11,10,11,11,12,10
609,5,5,4,5,5,6,4
610,8,8,8,8,8,9,7
611,3,3,4,3,d/0,4,2
612,12,12,12,12,12,13,11
613,6,6,6,6,6,7,5
614,6,6,5,6,6,7,5
615,11,11,11,11,d/0,12,10
616,9,9,10,9,d/0,10,8
617,6,6,6,6,6,7,5
618,3,3,3,3,3,4,2
619,9,9,9,9,9,10,8
620,13,13,13,13,d/0,14,12
621,5,5,5,5,5,6,4
622,10,10,11,10,d/0,11,9
623,3,3,3,3,3,4,2
624,11,11,11,11,11,12,10
625,11,11,11,11,11,12,10
626,4,4,4,4,4,5,3
627,12,12,12,12,12,13,11
628,5,5,5,5,5,6,4
629,8,8,8,8,8,9,7
630,3,3,3,3,3,4,2
631,12,12,12,12,12,13,11
632,9,9,9,9,9,10,8
633,7,7,7,7,7,8,6
634,5,5,5,5,5,6,4
635,5,5,5,5,5,6,4
636,11,11,10,11,11,12,10
637,8,8,9,8,d/0,9,8
638,8,8,8,8,8,9,7
639,13,13,12,13,13,14,12
640,12,12,11,12,12,13,11
641,13,13,13,13,13,14,12
642,14,14,14,14,14,15,13
643,5,5,6,5,d/0,6,5
644,3,3,3,3,3,4,2
645,7,7,7,7,7,8,6
646,12,12,12,12,12,13,11
647,4,4,4,4,4,5,3
648,3,3,3,3,3,4,2
649,5,5,5,5,5,6,4
650,7,7,7,7,7,8,6
651,3,3,6,3,d/0,4,3
652,6,6,6,6,6,7,5
653,14,14,14,14,14,15,13
654,11,11,11,11,11,12,10
655,7,7,7,7,7,8,6
656,3,3,3,3,3,4,2
657,14,14,13,14,14,15,13
658,4,4,4,4,4,5,3
659,12,12,12,12,12,13,11
660,13,13,12,13,13,14,12
661,7,7,6,7,7,8,6
662,10,10,10,10,10,11,9
663,7,7,7,7,7,8,6
664,8,8,8,8,8,9,7
665,8,8,8,8,8,9,7
666,6,6,6,6,6,7,5
667,6,6,5,6,6,7,5
668,12,12,12,12,12,13,11
669,11,11,11,11,11,12,10
670,12,12,12,12,12,13,11
671,5,5,5,5,5,6,4
672,9,9,9,9,9,10,8
673,13,13,13,13,13,14,12
674,5,5,5,5,5,6,4
675,11,11,12,11,d/0,12,10
676,3,3,3,3,3,4,2
677,5,5,5,5,5,6,4
678,13,13,12,13,13,14,12
679,14,14,14,14,14,15,13
680,5,5,5,5,5,6,4
681,13,13,14,13,d/0,14,12
682,3,3,2,3,3,4,2
683,9,9,9,9,9,10,8
684,6,6,6,6,6,7,5
685,3,3,3,3,3,4,2
686,10,10,11,10,d/0,11,9
687,8,8,9,8,d/0,9,7
688,9,9,9,9,d/0,10,8
689,11,11,11,11,d/0,12,10
690,2,2,3,2,d/0,3,1
691,6,6,6,6,6,7,5
692,11,11,11,11,11,12,10
693,9,9,9,9,9,10,8
694,9,9,9,9,9,10,8
695,6,6,6,6,6,7,5
696,9,9,8,9,9,10,8
697,6,6,6,6,6,7,5
698,12,12,12,12,12,13,11
