,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
216,5,5,26,15,0.3097171404,8,-14
217,-28,-28,8,-84,1.1871721416,-25,-14
218,62,62,89,186,d/0,65,50
219,-36,-36,0,-108,1.4344914889,-33,-41
220,-7,-7,5,-21,0.0919701215,-4,7
221,19,19,49,57,d/0,22,19
222,6,6,15,18,0.1666666667,9,2
223,7,7,28,21,d/0,10,10
224,-37,-37,-10,-111,-0.4264411026,-34,-35
225,10,10,46,30,1.3611883001000002,13,9
226,9,9,27,27,d/0,12,28
227,-43,-43,-10,-129,0.5744047619,-40,-44
228,-19,-19,11,-57,-0.8463485045000001,-16,-12
229,26,26,68,78,-0.7230158729999997,29,14
230,-32,-32,-2,-96,-0.49662698409999995,-29,-18
231,7,7,19,21,0.7424242424,10,-5
232,-36,-36,-24,-108,-0.056721056699999994,-33,-42
233,-33,-33,-21,-99,-0.1452020203,-30,-15
234,11,11,50,33,2.5076779645,14,9
235,-71,-71,-32,-213,0.18314000239999995,-68,-74
236,29,29,68,87,1.6082811194999997,32,27
237,38,38,62,114,0.8038021618,41,21
238,35,35,65,105,2.1658119658000006,38,54
239,-10,-10,8,-30,-0.27258672700000003,-7,-2
240,17,17,38,51,d/0,20,12
241,-20,-20,7,-60,d/0,-17,-5
242,-16,-16,14,-48,1.8788388082000003,-13,-9
243,11,11,20,33,1.0,14,9
244,15,15,48,45,d/0,18,24
245,50,50,77,150,1.4189014202,53,42
246,-5,-5,34,-15,d/0,-2,-7
247,53,53,74,159,1.0056077693,56,50
248,-50,-50,-26,-150,-0.6907018419,-47,-48
249,-19,-19,-7,-57,0.46974789919999993,-16,-29
250,-42,-42,-12,-126,-0.6274743232,-39,-56
251,-65,-65,-23,-195,d/0,-62,-55
252,-25,-25,-16,-75,-0.5428571429,-22,-10
253,-22,-22,-7,-66,-0.040029372,-19,-9
254,-33,-33,-12,-99,-0.35933870059999995,-30,-23
255,30,30,69,90,-0.33772338780000005,33,25
256,-33,-33,-15,-99,-0.1306526807,-30,-45
257,17,17,56,51,-0.6206026001000002,20,37
258,52,52,91,156,-0.6335317459999998,55,43
