,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6,MR1_checker,MR3_checker,MR4_checker,MR5_checker,MR6_checker
59,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
60,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
61,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
62,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
63,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
64,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
65,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
66,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
67,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
68,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
69,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
70,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
71,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
72,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
73,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
74,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
75,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
76,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
77,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
78,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
79,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
80,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
81,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
82,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
83,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
84,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
85,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
86,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
87,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
88,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
89,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
90,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
91,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
92,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
93,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
94,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
95,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
96,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
97,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
98,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
99,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
100,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
101,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
102,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
103,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
104,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
105,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
106,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
107,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
108,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
109,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
110,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
111,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
112,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
113,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
114,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
115,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
116,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
117,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
118,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
119,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
120,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
121,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
122,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
123,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
124,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
125,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
126,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
127,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
128,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
129,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
130,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
131,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
132,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
133,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
134,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
135,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
136,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
137,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
138,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
139,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
140,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
141,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
142,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
143,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
144,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
145,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
146,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
147,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
148,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
149,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
150,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
151,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
152,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
153,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
154,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
155,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
156,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
157,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
158,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
159,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
160,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
161,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
162,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
163,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
164,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
165,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
166,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
167,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
168,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
169,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
170,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
171,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
172,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
173,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
174,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
175,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
176,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
177,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
178,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
179,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
180,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
181,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
182,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
183,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
184,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
185,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
186,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
187,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
188,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
189,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
190,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
191,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
192,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
193,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
194,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
195,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
196,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
197,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
198,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
199,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
200,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
201,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
202,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
203,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
204,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
205,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
206,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
207,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
208,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
209,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
210,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
211,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
212,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
213,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
214,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
215,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
216,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
217,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
218,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
219,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
220,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
221,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
222,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
223,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
224,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
225,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
226,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
227,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
228,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
229,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
230,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
231,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
232,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
233,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
234,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
235,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
236,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
237,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
238,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
239,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
240,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
241,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
242,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
243,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
244,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
245,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
246,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
247,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
248,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
249,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
250,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
251,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
252,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
253,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
254,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
255,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
256,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
257,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
258,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
259,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
260,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
261,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
262,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
263,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
264,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
265,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
266,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
267,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
268,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
269,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
270,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
271,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
272,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
273,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
274,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
275,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
276,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
277,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
278,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
279,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
280,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
281,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
282,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
283,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
284,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
285,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
286,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
287,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
288,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
289,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
290,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
291,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
292,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
293,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
294,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
295,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
296,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
297,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
298,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
299,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
300,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
301,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
302,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
303,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
304,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
305,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
306,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
307,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
308,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
309,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
310,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
311,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
312,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
313,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
314,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
315,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
316,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
317,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
318,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
319,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
320,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
321,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
322,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
323,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
324,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
325,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
326,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
327,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
328,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
329,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
330,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
331,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
332,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
333,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
334,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
335,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
336,0,0,0,0,0,0,0,No-violated,No-violated,No-violated,No-violated,No-violated
